web-scraper-order,web-scraper-start-url,house,house-href,price,location,luas_bangunan,luas_tanah,sertifikasi,n_bedroom,n_bathroom,n_lantai
"1669844814-492","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 2.000.000.0004 KT - 3 KM - 220 m2Dijual Rumah Pribadi, Sertifikat Hak MiliMakasar, Jakarta Timur28 Okt","https://www.olx.co.id/item/dijual-rumah-pribadi-sertifikat-hak-mili-iid-877385033","Rp 2.000.000.000","Makasar, Jakarta Timur, Jakarta D.K.I.","220","110","SHM - Sertifikat Hak Milik","4","3","2"
"1669844820-493","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 810.000.0002 KT - 1 KM - 45 m2Rumah Minimalis Bebas Banjir Dekat Cibubur Harga All In Nego Siap KPRCiracas, Jakarta Timur12 Agu","https://www.olx.co.id/item/rumah-minimalis-bebas-banjir-dekat-cibubur-harga-all-in-nego-siap-kpr-iid-870439355","Rp 810.000.000","Ciracas, Jakarta Timur, Jakarta D.K.I.","45","90","SHM - Sertifikat Hak Milik","2","1","1"
"1669844826-494","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.400.000.0003 KT - 2 KM - 120 m2Rumah Minimalis Lokasi Strategis Bintaro Semi FurnishedCiputat, Tangerang Selatan Kota5 hari yang lalu","https://www.olx.co.id/item/rumah-minimalis-lokasi-strategis-bintaro-semi-furnished-iid-853366511","Rp 1.400.000.000","Ciputat, Tangerang Selatan Kota, Banten","120","60","SHM - Sertifikat Hak Milik","3","2","2"
"1669844830-495","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 2.100.000.0005 KT - 4 KM - 200 m2Greenwhich BSD samping Qbig - owner langsungTebet, Jakarta Selatan18 Nov","https://www.olx.co.id/item/greenwhich-bsd-samping-qbig-owner-langsung-iid-879278065","Rp 2.100.000.000","Tebet, Jakarta Selatan, Jakarta D.K.I.","200","84","SHM - Sertifikat Hak Milik","5","4","3"
"1669844836-496","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.400.000.0002 KT - 2 KM - 84 m2Belle Legoso ResidenceCiputat Timur, Tangerang Selatan Kota25 Okt","https://www.olx.co.id/item/belle-legoso-residence-iid-877125789","Rp 1.400.000.000","Ciputat Timur, Tangerang Selatan Kota, Banten","84","72","SHM - Sertifikat Hak Milik","2","2","2"
"1669844843-497","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 600.000.0005 KT - 5 KM - 150 m2Tanah dan bangunanCiputat, Tangerang Selatan Kota10 Nov","https://www.olx.co.id/item/tanah-dan-bangunan-iid-868524726","Rp 600.000.000","Ciputat, Tangerang Selatan Kota, Banten","150","153","SHM - Sertifikat Hak Milik","5","5","null"
"1669844847-498","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 2.800.000.0005 KT - 4 KM - 223 m2DIJUAL CEPAT RUMAH DITENGAH KOTA 2 LTSenen, Jakarta Pusat07 Okt","https://www.olx.co.id/item/dijual-cepat-rumah-ditengah-kota-2-lt-iid-875479184","Rp 2.800.000.000","Senen, Jakarta Pusat, Jakarta D.K.I.","223","150","SHM - Sertifikat Hak Milik","5","4","2"
"1669844851-499","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 1.080.000.0003 KT - 2 KM - 80 m2Jual Rumah Strategis Bebas Banjir Dekat Cinere Harga All In Bisa KPRCinere, Depok Kota19 Okt","https://www.olx.co.id/item/jual-rumah-strategis-bebas-banjir-dekat-cinere-harga-all-in-bisa-kpr-iid-867747186","Rp 1.080.000.000","Cinere, Depok Kota, Jawa Barat","80","84","SHM - Sertifikat Hak Milik","3","2","1"
"1669844856-500","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 7.300.000.0006 KT - 4 KM - 410 m2Rumah Siap Huni Lokasi Strategis, Slipi, Jakarta BaratPalmerah, Jakarta Barat18 Nov","https://www.olx.co.id/item/rumah-siap-huni-lokasi-strategis-slipi-jakarta-barat-iid-879256554","Rp 7.300.000.000","Palmerah, Jakarta Barat, Jakarta D.K.I.","410","270","SHM - Sertifikat Hak Milik","6","4","2"
"1669844866-501","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 15.800.0006 KT - 8 KM - 600 m2Rumah luas dan strategis. Bisa menjadi komplek RukoCiledug, Tangerang Kota4 hari yang lalu","https://www.olx.co.id/item/rumah-luas-dan-strategis-bisa-menjadi-komplek-ruko-iid-880036169","Rp 15.800.000","Ciledug, Tangerang Kota, Banten","600","1235","SHM - Sertifikat Hak Milik","6","8","2"
"1669844871-502","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 6.500.000.0003 KT - 5 KM - 580 m2Rumah Mewah di Taman Bukit Kemang, Cipete, Kebayoran Baru Siap HuniKebayoran Baru, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-mewah-di-taman-bukit-kemang-cipete-kebayoran-baru-siap-huni-iid-880237034","Rp 6.500.000.000","Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.","580","188","SHM - Sertifikat Hak Milik","3","5","null"
"1669844876-503","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 16.000.000.0004 KT - 4 KM - 500 m2Pejaten Jatipadang rumah baru mewah modern tropis dekat TB simatupangMampang Prapatan, Jakarta SelatanHari ini","https://www.olx.co.id/item/pejaten-jatipadang-rumah-baru-mewah-modern-tropis-dekat-tb-simatupang-iid-872187682","Rp 16.000.000.000","Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.","500","732","SHM - Sertifikat Hak Milik","4","4","null"
"1669844881-504","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 15.700.000.0004 KT - 5 KM - 466 m2Cipete kemang luas 521, design klasik modern dan  lingkungan tenang,Cilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/cipete-kemang-luas-521-design-klasik-modern-dan-lingkungan-tenang-iid-830594767","Rp 15.700.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","466","521","SHM - Sertifikat Hak Milik","4","5","null"
"1669844885-505","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 3.600.000.0004 KT - 3 KM - 190 m2Rumah Cantik Dengan Design Unik, Dilengkapi Rooftop Untuk BersantaiCilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-cantik-dengan-design-unik-dilengkapi-rooftop-untuk-bersantai-iid-817705010","Rp 3.600.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","190","160","SHM - Sertifikat Hak Milik","4","3","2"
"1669844891-506","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 10.500.000.0003 KT - 3 KM - 250 m2Pondok Indah Cocok Untuk Orangtua, 1 Lantai Luas 303, Rumah Brand NewKebayoran Lama, Jakarta SelatanHari ini","https://www.olx.co.id/item/pondok-indah-cocok-untuk-orangtua-1-lantai-luas-303-rumah-brand-new-iid-830592305","Rp 10.500.000.000","Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.","250","303","SHM - Sertifikat Hak Milik","3","3","1"
"1669844896-507","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 55.000.000.0003 KT - 3 KM - 600 m2Kebayoran baru martimbang luas 1030 garden houseKebayoran Baru, Jakarta SelatanHari ini","https://www.olx.co.id/item/kebayoran-baru-martimbang-luas-1030-garden-house-iid-856833825","Rp 55.000.000.000","Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.","600","1029","SHM - Sertifikat Hak Milik","3","3","null"
"1669844900-508","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 7.500.000.0004 KT - 5 KM - 400 m2FOR SALE
Rumah mewah lebak bulus
Desain Bali resort
Kawasan asriCilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/for-sale-rumah-mewah-lebak-bulus-desain-bali-resort-kawasan-asri-iid-880237619","Rp 7.500.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","400","329","SHM - Sertifikat Hak Milik","4","5","2"
"1669844905-509","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 5.500.000.0006 KT - 5 KM - 400 m2Rumah mewah dalam komplek di Pesanggrahan,Jakarta SelatanPesanggrahan, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-mewah-dalam-komplek-di-pesanggrahanjakarta-selatan-iid-856673992","Rp 5.500.000.000","Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.","400","280","HGB - Hak Guna Bangun","6","5","2"
"1669844910-510","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 2.800.000.0003 KT - 3 KM - 130 m2Rumah Megah Fresh di Town House di Ragunan  Pasar MingguPasar Minggu, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-megah-fresh-di-town-house-di-ragunan-pasar-minggu-iid-879208167","Rp 2.800.000.000","Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.","130","134","SHM - Sertifikat Hak Milik","3","3","2"
"1669844917-511","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 29.999.999.9995 KT - 5 KM - 300 m2Dijual Villa Super Mewah Harga Hit Tanah Puncak,Bogor,Jawa BaratKebayoran Baru, Jakarta SelatanHari ini","https://www.olx.co.id/item/dijual-villa-super-mewah-harga-hit-tanah-puncakbogorjawa-barat-iid-858621424","Rp 29.999.999.999","Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.","300","30000","SHM - Sertifikat Hak Milik","5","5","1"
"1669844921-512","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 17.250.000.0007 KT - 6 KM - 536 m2Dijual rumah cantik mewah di Duren Tiga Selatan Jakarta SelatanJakartaPancoran, Jakarta SelatanHari ini","https://www.olx.co.id/item/dijual-rumah-cantik-mewah-di-duren-tiga-selatan-jakarta-selatanjakarta-iid-804204287","Rp 17.250.000.000","Pancoran, Jakarta Selatan, Jakarta D.K.I.","536","500","SHM - Sertifikat Hak Milik","7","6","2"
"1669844925-513","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 7.500.000.00010 KT - 5 KM - 135 m2#Dijual Rumah+Kamar Kos Di Patal Senayan Keb Lama Jakarta Selatan#Kebayoran Lama, Jakarta SelatanHari ini","https://www.olx.co.id/item/dijual-rumahkamar-kos-di-patal-senayan-keb-lama-jakarta-selatan-iid-863842426","Rp 7.500.000.000","Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.","135","159","SHM - Sertifikat Hak Milik","10","5","2"
"1669844930-514","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 4.000.000.0008 KT - 4 KM - 94 m2#DI JUAL RUMAH KOS-KOSAN DI  PONDOK PINANG KEBAYORAN LAMA JAK SELKebayoran Lama, Jakarta SelatanHari ini","https://www.olx.co.id/item/di-jual-rumah-kos-kosan-di-pondok-pinang-kebayoran-lama-jak-sel-iid-856851070","Rp 4.000.000.000","Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.","94","94","SHM - Sertifikat Hak Milik","8","4","3"
"1669844935-515","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 1.480.000.0003 KT - 2 KM - 100 m2TANGKAS PERMAI PESANGGRAHAN JAKSELPesanggrahan, Jakarta SelatanHari ini","https://www.olx.co.id/item/tangkas-permai-pesanggrahan-jaksel-iid-880239285","Rp 1.480.000.000","Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.","100","132","SHM - Sertifikat Hak Milik","3","2","1"
"1669844940-516","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 2.300.000.0003 KT - 4 KM - 147 m2Rumah Modern Pesanggrahan PerbatasanPesanggrahan, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-modern-pesanggrahan-perbatasan-iid-880239401","Rp 2.300.000.000","Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.","147","92","SHM - Sertifikat Hak Milik","3","4","2"
"1669844944-517","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 59.000.000.0007 KT - 8 KM - 1050 m2Jual cepat rumah mewah di pondok indah JakartaKebayoran Lama, Jakarta SelatanHari ini","https://www.olx.co.id/item/jual-cepat-rumah-mewah-di-pondok-indah-jakarta-iid-872222830","Rp 59.000.000.000","Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.","1050","627","SHM - Sertifikat Hak Milik","7","8","2"
"1669844948-518","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 4.999.999.9996 KT - 4 KM - 331 m2Rumah modern, design minimalis, lokasi strategis, harga negoCilandak, Jakarta Selatan01 Nov","https://www.olx.co.id/item/rumah-modern-design-minimalis-lokasi-strategis-harga-nego-iid-824326124","Rp 4.999.999.999","Cilandak, Jakarta Selatan, Jakarta D.K.I.","331","230","SHM - Sertifikat Hak Milik","6","4","3"
"1669844952-519","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 5.000.000.0006 KT - 1 KM - 250 m2DIJUAL RUMAH RADIO DALAMKebayoran Baru, Jakarta Selatan29 Okt","https://www.olx.co.id/item/dijual-rumah-radio-dalam-iid-877496681","Rp 5.000.000.000","Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.","250","160","SHM - Sertifikat Hak Milik","6","1","4"
"1669844955-520","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 13.800.000.0003 KT - 3 KM - 350 m2Rumah dijual Jakarta selatanKebayoran Lama, Jakarta Selatan06 Jul","https://www.olx.co.id/item/rumah-dijual-jakarta-selatan-iid-774124163","Rp 13.800.000.000","Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.","350","500","SHM - Sertifikat Hak Milik","3","3","1"
"1669844959-521","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","HighlightRp 975.000.0003 KT - 2 KM - 72 m2Rumah dekat tol dan stasiun di pamulangKebayoran Lama, Jakarta Selatan23 Okt","https://www.olx.co.id/item/rumah-dekat-tol-dan-stasiun-di-pamulang-iid-876922289","Rp 975.000.000","Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.","72","70","SHM - Sertifikat Hak Milik","3","2","2"
"1669844963-522","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 9.250.000.0006 KT - 5 KM - 400 m2Rumah mewah termurah pondok indah dekat mall pondok indahKebayoran Lama, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-mewah-termurah-pondok-indah-dekat-mall-pondok-indah-iid-872166841","Rp 9.250.000.000","Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.","400","160","SHM - Sertifikat Hak Milik","6","5","2"
"1669844969-523","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 12.000.000.0008 KT - 5 KM - 445 m2Dijual Rumah Tanah Luas Di Cilandak, Jakarta Selatan.Cilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/dijual-rumah-tanah-luas-di-cilandak-jakarta-selatan-iid-880240098","Rp 12.000.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","445","716","null","8","5","2"
"1669844973-524","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 11.000.000.0007 KT - 2 KM - 370 m2Dijual Rumah 2 Lt. Di Cilandak Timur, Jakarta SelCilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/dijual-rumah-2-lt-di-cilandak-timur-jakarta-sel-iid-880240453","Rp 11.000.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","370","920","SHM - Sertifikat Hak Milik","7","2","2"
"1669844977-525","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 885.000.0003 KT - 2 KM - 75 m2Rumah siap huni kpr dp 5% bisa cicil free biayaCilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-siap-huni-kpr-dp-5-bisa-cicil-free-biaya-iid-880240576","Rp 885.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","75","83","SHM - Sertifikat Hak Milik","3","2","2"
"1669844982-526","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 17.500.000.0006 KT - 6 KM - 470 m2Dijual Rumah Cantik Siap Huni Bebas Banjir Kemang Timur Jakarta SelataMampang Prapatan, Jakarta SelatanHari ini","https://www.olx.co.id/item/dijual-rumah-cantik-siap-huni-bebas-banjir-kemang-timur-jakarta-selata-iid-880241406","Rp 17.500.000.000","Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.","470","412","SHM - Sertifikat Hak Milik","6","6","2"
"1669844987-527","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 25.000.000.0008 KT - 6 KM - 650 m2Rumah Mewah yang sangat terawat serta memiliki Desain yang elegan di aCilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-mewah-yang-sangat-terawat-serta-memiliki-desain-yang-elegan-di-a-iid-880241637","Rp 25.000.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","650","878","SHM - Sertifikat Hak Milik","8","6","2"
"1669844990-528","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 11.500.000.0006 KT - 6 KM - 500 m2FOR SALE KEBAYORAN LAMA - ULUJAMI LUXURIOUS CLASSIC MEDITERANIAN HOUSEPesanggrahan, Jakarta SelatanHari ini","https://www.olx.co.id/item/for-sale-kebayoran-lama-ulujami-luxurious-classic-mediteranian-house-iid-880241935","Rp 11.500.000.000","Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.","500","1248","SHM - Sertifikat Hak Milik","6","6","2"
"1669844995-529","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 30.000.0002 KT - 1 KM - 30 m2Dijual Murah Over Kredit 30 Juta Rumah Renovasi Subsidi Langsung HuniPancoran, Jakarta SelatanHari ini","https://www.olx.co.id/item/dijual-murah-over-kredit-30-juta-rumah-renovasi-subsidi-langsung-huni-iid-880242163","Rp 30.000.000","Pancoran, Jakarta Selatan, Jakarta D.K.I.","30","60","SHM - Sertifikat Hak Milik","2","1","1"
"1669845000-530","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 632.800.0002 KT - 1 KM - 50 m2PERUMAHAN TERBAIK BEST FASILITY KOTA TEMANGGUNG JAWA TENGAHPancoran, Jakarta SelatanHari ini","https://www.olx.co.id/item/perumahan-terbaik-best-fasility-kota-temanggung-jawa-tengah-iid-880244218","Rp 632.800.000","Pancoran, Jakarta Selatan, Jakarta D.K.I.","50","80","SHM - Sertifikat Hak Milik","2","1","1"
"1669845004-531","https://www.olx.co.id/jakarta-selatan_g4000030/dijual-rumah-apartemen_c5158/q-rumah-.dijual?filter=type_eq_rumah","Rp 15.500.000.0009 KT - 7 KM - 700 m2Rumah Mewah dalam komplek jalan lebar  Di Lebak Bulus Jakarta SelatanCilandak, Jakarta SelatanHari ini","https://www.olx.co.id/item/rumah-mewah-dalam-komplek-jalan-lebar-di-lebak-bulus-jakarta-selatan-iid-880244509","Rp 15.500.000.000","Cilandak, Jakarta Selatan, Jakarta D.K.I.","700","729","SHM - Sertifikat Hak Milik","9","7","3"
